uf;mes;consumo
RO;2018-01-01;249348.71
AC;2018-01-01;81045.3
AM;2018-01-01;460127.57
RR;2018-01-01;76488.94
PA;2018-01-01;1684268.39
AP;2018-01-01;88957.6
TO;2018-01-01;172661.35
MA;2018-01-01;565404.02
PI;2018-01-01;287938.29
CE;2018-01-01;929186.24
RN;2018-01-01;496448
PB;2018-01-01;476007.14
PE;2018-01-01;1167829.48
AL;2018-01-01;363862.31
SE;2018-01-01;334457.71
BA;2018-01-01;2094036.95
MG;2018-01-01;4716736.49
ES;2018-01-01;859595
RJ;2018-01-01;3614646.14
SP;2018-01-01;10887386.83
PR;2018-01-01;2597921.55
SC;2018-01-01;2115002.66
RS;2018-01-01;2813700.11
MS;2018-01-01;493201.93
MT;2018-01-01;671485.76
GO;2018-01-01;1241869
DF;2018-01-01;515061.33
RO;2018-02-01;244861.02
AC;2018-02-01;79121.06
AM;2018-02-01;438587.67
RR;2018-02-01;79149.03
PA;2018-02-01;1559131.95
AP;2018-02-01;79556.21
TO;2018-02-01;170131.82
MA;2018-02-01;519875.35
PI;2018-02-01;261118.52
CE;2018-02-01;887547.08
RN;2018-02-01;461626
PB;2018-02-01;442042.85
PE;2018-02-01;1159521.5
AL;2018-02-01;304520.46
SE;2018-02-01;315118.99
BA;2018-02-01;2000892.39
MG;2018-02-01;4551118.03
ES;2018-02-01;842803
RJ;2018-02-01;3368689.17
SP;2018-02-01;10926989.39
PR;2018-02-01;2641220.21
SC;2018-02-01;2207483.07
RS;2018-02-01;2722823.25
MS;2018-02-01;486456.54
MT;2018-02-01;692541.57
GO;2018-02-01;1210057
DF;2018-02-01;516046.62
RO;2018-03-01;257309.3
AC;2018-03-01;76322.34
AM;2018-03-01;504913.95
RR;2018-03-01;82289.46
PA;2018-03-01;1680241.53
AP;2018-03-01;82247.92
TO;2018-03-01;185249.09
MA;2018-03-01;559924.13
PI;2018-03-01;272640.68
CE;2018-03-01;891237.8
RN;2018-03-01;482261
PB;2018-03-01;458712.22
PE;2018-03-01;1190835.25
AL;2018-03-01;322656.16
SE;2018-03-01;327619.58
BA;2018-03-01;2075772.38
MG;2018-03-01;4688540.46
ES;2018-03-01;932746
RJ;2018-03-01;3741054.91
SP;2018-03-01;11490611.56
PR;2018-03-01;2774410.42
SC;2018-03-01;2212759.61
RS;2018-03-01;2784789.03
MS;2018-03-01;514369.27
MT;2018-03-01;742591.42
GO;2018-03-01;1276484
DF;2018-03-01;498281.15
RO;2018-04-01;260804.27
AC;2018-04-01;74646.76
AM;2018-04-01;490246.23
RR;2018-04-01;84250.3
PA;2018-04-01;1503476.03
AP;2018-04-01;81706.76
TO;2018-04-01;184183.42
MA;2018-04-01;560141
PI;2018-04-01;270380.79
CE;2018-04-01;929001.26
RN;2018-04-01;461048
PB;2018-04-01;443056.49
PE;2018-04-01;1171049.07
AL;2018-04-01;411156.48
SE;2018-04-01;321357.47
BA;2018-04-01;2098355.73
MG;2018-04-01;4771308.41
ES;2018-04-01;840530
RJ;2018-04-01;3625511.55
SP;2018-04-01;11495435.81
PR;2018-04-01;2799802.75
SC;2018-04-01;2152420.65
RS;2018-04-01;2575168.67
MS;2018-04-01;527987.4
MT;2018-04-01;711946.02
GO;2018-04-01;1318174
DF;2018-04-01;531859.93
RO;2018-05-01;265516.69
AC;2018-05-01;81720.71
AM;2018-05-01;500161.02
RR;2018-05-01;73826.09
PA;2018-05-01;1461332.11
AP;2018-05-01;84407.2
TO;2018-05-01;199930.85
MA;2018-05-01;570332.83
PI;2018-05-01;277263.69
CE;2018-05-01;945059.07
RN;2018-05-01;446750
PB;2018-05-01;438020.31
PE;2018-05-01;1159272.15
AL;2018-05-01;410880.48
SE;2018-05-01;307917.72
BA;2018-05-01;2100432.84
MG;2018-05-01;4637059.05
ES;2018-05-01;820372
RJ;2018-05-01;3321233.68
SP;2018-05-01;10957759.08
PR;2018-05-01;2588553.55
SC;2018-05-01;2067675.22
RS;2018-05-01;2534037.9
MS;2018-05-01;498361.81
MT;2018-05-01;740429.72
GO;2018-05-01;1263527
DF;2018-05-01;511465.78
RO;2018-06-01;244356.78
AC;2018-06-01;76033.15
AM;2018-06-01;482612.81
RR;2018-06-01;70981.8
PA;2018-06-01;1425764.46
AP;2018-06-01;83401.86
TO;2018-06-01;200772.7
MA;2018-06-01;586892.31
PI;2018-06-01;292479.35
CE;2018-06-01;974875.78
RN;2018-06-01;453723
PB;2018-06-01;426783.87
PE;2018-06-01;1130063.85
AL;2018-06-01;389411.16
SE;2018-06-01;289027.36
BA;2018-06-01;2053311.19
MG;2018-06-01;4611536.75
ES;2018-06-01;790173
RJ;2018-06-01;3067867.36
SP;2018-06-01;10709582.93
PR;2018-06-01;2529852.26
SC;2018-06-01;1983290.67
RS;2018-06-01;2387729.93
MS;2018-06-01;433947.87
MT;2018-06-01;679850.33
GO;2018-06-01;1316031
DF;2018-06-01;512945.55
RO;2018-07-01;262378.81
AC;2018-07-01;79554.76
AM;2018-07-01;505174.57
RR;2018-07-01;67097.61
PA;2018-07-01;1465487.31
AP;2018-07-01;86686.82
TO;2018-07-01;192072.18
MA;2018-07-01;596580.15
PI;2018-07-01;273591.88
CE;2018-07-01;930143.16
RN;2018-07-01;438544
PB;2018-07-01;431977.58
PE;2018-07-01;1091636.63
AL;2018-07-01;415725.31
SE;2018-07-01;293250.36
BA;2018-07-01;2048945.15
MG;2018-07-01;4661887.55
ES;2018-07-01;805174
RJ;2018-07-01;3056282.49
SP;2018-07-01;10749434.64
PR;2018-07-01;2599183.2
SC;2018-07-01;2004847.58
RS;2018-07-01;2445925.15
MS;2018-07-01;441261
MT;2018-07-01;732467.72
GO;2018-07-01;1345905
DF;2018-07-01;486942.3
RO;2018-08-01;278297.25
AC;2018-08-01;80491.61
AM;2018-08-01;535617.28
RR;2018-08-01;78815.12
PA;2018-08-01;1416141.33
AP;2018-08-01;91249.03
TO;2018-08-01;208382.19
MA;2018-08-01;621139.38
PI;2018-08-01;315255.69
CE;2018-08-01;938638.36
RN;2018-08-01;465124
PB;2018-08-01;443853.7
PE;2018-08-01;1120616.71
AL;2018-08-01;391495.88
SE;2018-08-01;301574.99
BA;2018-08-01;2090199.01
MG;2018-08-01;4800722.01
ES;2018-08-01;857231
RJ;2018-08-01;3069855.24
SP;2018-08-01;10650379.12
PR;2018-08-01;2648910.82
SC;2018-08-01;2013143.58
RS;2018-08-01;2479534
MS;2018-08-01;456398.61
MT;2018-08-01;737807.82
GO;2018-08-01;1449005
DF;2018-08-01;508997.28
RO;2018-09-01;262416.35
AC;2018-09-01;85699.55
AM;2018-09-01;511131.42
RR;2018-09-01;76490.6
PA;2018-09-01;1449862.69
AP;2018-09-01;94993.53
TO;2018-09-01;208498.68
MA;2018-09-01;619887.64
PI;2018-09-01;326382.53
CE;2018-09-01;949722.26
RN;2018-09-01;478975
PB;2018-09-01;432359.81
PE;2018-09-01;1121092.38
AL;2018-09-01;390713.5
SE;2018-09-01;298990.26
BA;2018-09-01;2018557.88
MG;2018-09-01;4727227.35
ES;2018-09-01;829081
RJ;2018-09-01;2972127.55
SP;2018-09-01;11071282.27
PR;2018-09-01;2580034.82
SC;2018-09-01;1999158.95
RS;2018-09-01;2376142.5
MS;2018-09-01;430360.44
MT;2018-09-01;787125.88
GO;2018-09-01;1402386
DF;2018-09-01;538285.7
RO;2018-10-01;299252.74
AC;2018-10-01;90182.24
AM;2018-10-01;562722.72
RR;2018-10-01;93616.21
PA;2018-10-01;1471548.67
AP;2018-10-01;102241.22
TO;2018-10-01;208895.18
MA;2018-10-01;647507.34
PI;2018-10-01;338349.49
CE;2018-10-01;942582.8
RN;2018-10-01;501759
PB;2018-10-01;466866
PE;2018-10-01;1233056.32
AL;2018-10-01;443636.62
SE;2018-10-01;314482.33
BA;2018-10-01;2165217.83
MG;2018-10-01;4907742.78
ES;2018-10-01;856164
RJ;2018-10-01;3285041.11
SP;2018-10-01;11061220.93
PR;2018-10-01;2659986.19
SC;2018-10-01;2046060.29
RS;2018-10-01;2381208.94
MS;2018-10-01;488242.46
MT;2018-10-01;817026.52
GO;2018-10-01;1451999
DF;2018-10-01;557177.32
RO;2018-11-01;279293
AC;2018-11-01;93348.49
AM;2018-11-01;515469.95
RR;2018-11-01;87809.18
PA;2018-11-01;1458850.83
AP;2018-11-01;92954.94
TO;2018-11-01;195911.78
MA;2018-11-01;644882
PI;2018-11-01;335001.72
CE;2018-11-01;982043.55
RN;2018-11-01;516316
PB;2018-11-01;480609.65
PE;2018-11-01;1260062.43
AL;2018-11-01;438532.64
SE;2018-11-01;317122.13
BA;2018-11-01;2209672.08
MG;2018-11-01;4787556.85
ES;2018-11-01;876846
RJ;2018-11-01;3192127.6
SP;2018-11-01;11297898.22
PR;2018-11-01;2666667.22
SC;2018-11-01;2075635.68
RS;2018-11-01;2431205.17
MS;2018-11-01;498021.191
MT;2018-11-01;789603.99
GO;2018-11-01;1344431
DF;2018-11-01;539795.21
RO;2018-12-01;249342.16
AC;2018-12-01;80665.42
AM;2018-12-01;459660.43
RR;2018-12-01;74624.12
PA;2018-12-01;1454000.65
AP;2018-12-01;85275.1
TO;2018-12-01;181692.34
MA;2018-12-01;606664.78
PI;2018-12-01;157707.82
CE;2018-12-01;965405.16
RN;2018-12-01;499833
PB;2018-12-01;466491.31
PE;2018-12-01;1269813.48
AL;2018-12-01;426137.22
SE;2018-12-01;320103.72
BA;2018-12-01;2136708.62
MG;2018-12-01;4610334.69
ES;2018-12-01;889237
RJ;2018-12-01;3384892.98
SP;2018-12-01;11137050.02
PR;2018-12-01;2733270.21
SC;2018-12-01;2057988.81
RS;2018-12-01;2485723.6
MS;2018-12-01;496348.8
MT;2018-12-01;738774.54
GO;2018-12-01;1404295
DF;2018-12-01;502806.91
RO;2019-01-01;258933.83
AC;2019-01-01;87600.58
AM;2019-01-01;470117
RR;2019-01-01;78396.49
PA;2019-01-01;1399065.04
AP;2019-01-01;80626
TO;2019-01-01;188445.19
MA;2019-01-01;581643.86
PI;2019-01-01;271935.38
CE;2019-01-01;984199.15
RN;2019-01-01;504901
PB;2019-01-01;489002.2
PE;2019-01-01;1195509.41
AL;2019-01-01;435557
SE;2019-01-01;327813.79
BA;2019-01-01;2174958.84
MG;2019-01-01;4834920.64
ES;2019-01-01;897114.36
RJ;2019-01-01;3799432.93
SP;2019-01-01;11434469.57
PR;2019-01-01;2823330.12
SC;2019-01-01;2366933.02
RS;2019-01-01;2810371.92
MS;2019-01-01;546145.33
MT;2019-01-01;731321.28
GO;2019-01-01;1351944.44
DF;2019-01-01;522500
RO;2019-02-01;252680.1
AC;2019-02-01;79985.83
AM;2019-02-01;462127
RR;2019-02-01;75134.84
PA;2019-02-01;1286210.65
AP;2019-02-01;81200
TO;2019-02-01;184040.45
MA;2019-02-01;571802.37
PI;2019-02-01;277260.55
CE;2019-02-01;1040896.68
RN;2019-02-01;484333
PB;2019-02-01;457357.66
PE;2019-02-01;1179616.2
AL;2019-02-01;377864
SE;2019-02-01;309418.65
BA;2019-02-01;2122425.48
MG;2019-02-01;4627720.84
ES;2019-02-01;929908.91
RJ;2019-02-01;3535568.44
SP;2019-02-01;11491323.22
PR;2019-02-01;2846534.88
SC;2019-02-01;2428999.29
RS;2019-02-01;2855562.11
MS;2019-02-01;558347.3
MT;2019-02-01;741401.16
GO;2019-02-01;1361447.72
DF;2019-02-01;544833
RO;2019-03-01;254847.19
AC;2019-03-01;85525.32
AM;2019-03-01;507987
RR;2019-03-01;83627.41
PA;2019-03-01;1400696.56
AP;2019-03-01;79087
TO;2019-03-01;188820.17
MA;2019-03-01;580822.07
PI;2019-03-01;281084.95
CE;2019-03-01;974015.25
RN;2019-03-01;481420
PB;2019-03-01;466568.22
PE;2019-03-01;1267705.57
AL;2019-03-01;382951
SE;2019-03-01;315620.07
BA;2019-03-01;2299390.96
MG;2019-03-01;4691696.63
ES;2019-03-01;967885.82
RJ;2019-03-01;3649936.03
SP;2019-03-01;11316811.23
PR;2019-03-01;2776859.63
SC;2019-03-01;2264792.46
RS;2019-03-01;2725776.32
MS;2019-03-01;523157.86
MT;2019-03-01;761091.82
GO;2019-03-01;1311973.09
DF;2019-03-01;507842
RO;2019-04-01;260772.24
AC;2019-04-01;86770.46
AM;2019-04-01;511648
RR;2019-04-01;87274.18
PA;2019-04-01;1344664.34
AP;2019-04-01;81899
TO;2019-04-01;194781.16
MA;2019-04-01;572046.93
PI;2019-04-01;276726.2
CE;2019-04-01;956851.42
RN;2019-04-01;451083
PB;2019-04-01;470542.57
PE;2019-04-01;1216641.17
AL;2019-04-01;371636.8
SE;2019-04-01;312747.17
BA;2019-04-01;2145126.53
MG;2019-04-01;4613124.81
ES;2019-04-01;884073.98
RJ;2019-04-01;3309926.22
SP;2019-04-01;11020534.3
PR;2019-04-01;2763992.64
SC;2019-04-01;2198896
RS;2019-04-01;2507996.86
MS;2019-04-01;512853.67
MT;2019-04-01;757312.41
GO;2019-04-01;1300304.64
DF;2019-04-01;513168
RO;2019-05-01;268913.22
AC;2019-05-01;89633.32
AM;2019-05-01;516444
RR;2019-05-01;77105.38
PA;2019-05-01;1441994.94
AP;2019-05-01;87243
TO;2019-05-01;207409.2
MA;2019-05-01;611376.52
PI;2019-05-01;292790.46
CE;2019-05-01;1005254.76
RN;2019-05-01;474869
PB;2019-05-01;480249.82
PE;2019-05-01;1272314.45
AL;2019-05-01;343603
SE;2019-05-01;325235.48
BA;2019-05-01;2249368.7
MG;2019-05-01;4676584.81
ES;2019-05-01;900083.35
RJ;2019-05-01;3378074.34
SP;2019-05-01;11232260.05
PR;2019-05-01;2711983.66
SC;2019-05-01;2148278.85
RS;2019-05-01;2514618.88
MS;2019-05-01;506660.93
MT;2019-05-01;770619.2
GO;2019-05-01;1360496.75
DF;2019-05-01;537185
RO;2019-06-01;254185.22
AC;2019-06-01;93619.25
AM;2019-06-01;497996
RR;2019-06-01;65037.79
PA;2019-06-01;1515600.15
AP;2019-06-01;86965.71
TO;2019-06-01;206279.58
MA;2019-06-01;621587.39
PI;2019-06-01;296248.22
CE;2019-06-01;978449.59
RN;2019-06-01;468974
PB;2019-06-01;444183.55
PE;2019-06-01;1155220.92
AL;2019-06-01;280361.3
SE;2019-06-01;296119.77
BA;2019-06-01;2083293.63
MG;2019-06-01;4562744.5
ES;2019-06-01;840801.28
RJ;2019-06-01;3020415.67
SP;2019-06-01;10556818.1
PR;2019-06-01;2649566.29
SC;2019-06-01;2018530.18
RS;2019-06-01;2390237.45
MS;2019-06-01;454805.24
MT;2019-06-01;748311.92
GO;2019-06-01;1337363.42
DF;2019-06-01;517068
RO;2019-07-01;277543.95
AC;2019-07-01;90606.44
AM;2019-07-01;523630
RR;2019-07-01;73222.16
PA;2019-07-01;1555907.72
AP;2019-07-01;91928
TO;2019-07-01;207655.21
MA;2019-07-01;629702.94
PI;2019-07-01;298313.29
CE;2019-07-01;1002392.73
RN;2019-07-01;462536
PB;2019-07-01;445114.89
PE;2019-07-01;1164004.65
AL;2019-07-01;285085
SE;2019-07-01;287039.59
BA;2019-07-01;2097965.18
MG;2019-07-01;4604422.66
ES;2019-07-01;795168.95
RJ;2019-07-01;2930184.17
SP;2019-07-01;10369811.74
PR;2019-07-01;2685274.01
SC;2019-07-01;2020747.27
RS;2019-07-01;2375163.51
MS;2019-07-01;455605.63
MT;2019-07-01;777471.04
GO;2019-07-01;1351421.88
DF;2019-07-01;488000
RO;2019-08-01;275256.9
AC;2019-08-01;86074.22
AM;2019-08-01;554366
RR;2019-08-01;71494.29
PA;2019-08-01;1595261.46
AP;2019-08-01;94156
TO;2019-08-01;204606.86
MA;2019-08-01;645994.23
PI;2019-08-01;303774.17
CE;2019-08-01;979548
RN;2019-08-01;467479
PB;2019-08-01;433351.54
PE;2019-08-01;1129232.26
AL;2019-08-01;292195
SE;2019-08-01;286434.969
BA;2019-08-01;2007274.4
MG;2019-08-01;4653787.13
ES;2019-08-01;836492.87
RJ;2019-08-01;2956017.08
SP;2019-08-01;10453847.49
PR;2019-08-01;2661877.47
SC;2019-08-01;2090980.45
RS;2019-08-01;2417116.44
MS;2019-08-01;469432.95
MT;2019-08-01;795043.85
GO;2019-08-01;1370533.81
DF;2019-08-01;509917
RO;2019-09-01;304632.35
AC;2019-09-01;99064.02
AM;2019-09-01;526283
RR;2019-09-01;77278.34
PA;2019-09-01;1604474.21
AP;2019-09-01;100883
TO;2019-09-01;225410.84
MA;2019-09-01;660274.22
PI;2019-09-01;322073.29
CE;2019-09-01;1027544.43
RN;2019-09-01;470227
PB;2019-09-01;443848.43
PE;2019-09-01;1114402.44
AL;2019-09-01;303692
SE;2019-09-01;294894.8
BA;2019-09-01;1996430.63
MG;2019-09-01;4648202.52
ES;2019-09-01;853045.37
RJ;2019-09-01;2969825.45
SP;2019-09-01;10820948.91
PR;2019-09-01;2642202.351
SC;2019-09-01;2055544.08
RS;2019-09-01;2334206.2
MS;2019-09-01;497619.92
MT;2019-09-01;876336.48
GO;2019-09-01;1462048.11
DF;2019-09-01;530797
RO;2019-10-01;280828.25
AC;2019-10-01;93099.09
AM;2019-10-01;521774
RR;2019-10-01;83318.53
PA;2019-10-01;1672557.38
AP;2019-10-01;98678
TO;2019-10-01;215075.67
MA;2019-10-01;665020.21
PI;2019-10-01;338106.34
CE;2019-10-01;1047135.23
RN;2019-10-01;503111
PB;2019-10-01;474596.39
PE;2019-10-01;1260933.39
AL;2019-10-01;333298
SE;2019-10-01;306282.01
BA;2019-10-01;2209881.64
MG;2019-10-01;4687749.19
ES;2019-10-01;841266.69
RJ;2019-10-01;3163290.71
SP;2019-10-01;11478577.71
PR;2019-10-01;2814967.1
SC;2019-10-01;2143027.87
RS;2019-10-01;2388739.12
MS;2019-10-01;529217.33
MT;2019-10-01;859615.07
GO;2019-10-01;1510877.99
DF;2019-10-01;546755
RO;2019-11-01;274057.44
AC;2019-11-01;96031.43
AM;2019-11-01;533501
RR;2019-11-01;80665.58
PA;2019-11-01;1646372.12
AP;2019-11-01;98549
TO;2019-11-01;196255.23
MA;2019-11-01;677006.47
PI;2019-11-01;370183.3
CE;2019-11-01;1129965.62
RN;2019-11-01;507230
PB;2019-11-01;483570.29
PE;2019-11-01;1265412.35
AL;2019-11-01;352297
SE;2019-11-01;317830.89
BA;2019-11-01;2220143.67
MG;2019-11-01;4793789.3
ES;2019-11-01;867730.06
RJ;2019-11-01;3347955.7
SP;2019-11-01;11613563.83
PR;2019-11-01;2829198.37
SC;2019-11-01;2206721.65
RS;2019-11-01;2484909.93
MS;2019-11-01;553855.91
MT;2019-11-01;832511.65
GO;2019-11-01;1432740.68
DF;2019-11-01;580425
RO;2019-12-01;284963.89
AC;2019-12-01;92982.32
AM;2019-12-01;516102
RR;2019-12-01;79534.81
PA;2019-12-01;1728872.84
AP;2019-12-01;92991.03
TO;2019-12-01;199305.82
MA;2019-12-01;693977.53
PI;2019-12-01;335365.03
CE;2019-12-01;1153699.53
RN;2019-12-01;512444
PB;2019-12-01;498275.26
PE;2019-12-01;1334160.06
AL;2019-12-01;369786
SE;2019-12-01;325548.39
BA;2019-12-01;2313488.03
MG;2019-12-01;4501611.91
ES;2019-12-01;849231.17
RJ;2019-12-01;3182884.02
SP;2019-12-01;11059424.08
PR;2019-12-01;2718845.22
SC;2019-12-01;2127307.63
RS;2019-12-01;2620849.55
MS;2019-12-01;534368.12
MT;2019-12-01;807016.7
GO;2019-12-01;1351971.88
DF;2019-12-01;516891
RO;2020-01-01;261824.62
AC;2020-01-01;88606.36
AM;2020-01-01;524796.44
RR;2020-01-01;81193.98
PA;2020-01-01;1662168.61
AP;2020-01-01;89893.94
TO;2020-01-01;186041.61
MA;2020-01-01;602214.12
PI;2020-01-01;306315.13
CE;2020-01-01;1075696.85
RN;2020-01-01;511867
PB;2020-01-01;496090.9
PE;2020-01-01;1223831.4
AL;2020-01-01;363840.16
SE;2020-01-01;322040.93
BA;2020-01-01;2220478.93
MG;2020-01-01;4708762.18
ES;2020-01-01;816331.99
RJ;2020-01-01;3563646.33
SP;2020-01-01;11068761.68
PR;2020-01-01;2784091.7501
SC;2020-01-01;2358135.86
RS;2020-01-01;2838248.16
MS;2020-01-01;525224.7
MT;2020-01-01;754832.47
GO;2020-01-01;1359704.91
DF;2020-01-01;534565
RO;2020-02-01;279572.74
AC;2020-02-01;95495.76
AM;2020-02-01;523376.94
RR;2020-02-01;77622.38
PA;2020-02-01;1584586.33
AP;2020-02-01;84731.9
TO;2020-02-01;190660.62
MA;2020-02-01;580290.54
PI;2020-02-01;283533.86
CE;2020-02-01;974261.73
RN;2020-02-01;476077
PB;2020-02-01;495737.7
PE;2020-02-01;1198410.97
AL;2020-02-01;346822.52
SE;2020-02-01;326873.88
