Hora;Submercado;1/3/2022;2/3/2022;3/3/2022;4/3/2022;5/3/2022;6/3/2022;7/3/2022;8/3/2022;9/3/2022;10/3/2022;11/3/2022;12/3/2022;13/3/2022;14/3/2022;15/3/2022;16/3/2022;17/3/2022;18/3/2022;19/3/2022;20/3/2022;21/3/2022;22/3/2022;23/3/2022;24/3/2022;25/3/2022;26/3/2022;27/3/2022;28/3/2022;29/3/2022;30/3/2022;31/3/2022
0;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
0;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
0;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
0;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
1;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
1;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
1;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
1;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
2;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
2;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
2;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
2;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
3;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
3;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
3;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
3;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
4;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
4;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
4;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
4;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
5;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
5;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
5;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
5;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
6;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
6;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
6;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
6;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
7;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
7;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
7;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
7;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
8;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
8;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
8;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
8;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
9;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
9;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
9;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
9;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
10;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
10;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
10;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
10;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
11;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
11;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
11;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
11;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
12;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
12;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
12;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
12;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
13;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
13;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
13;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
13;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
14;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
14;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
14;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
14;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
15;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
15;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
15;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
15;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
16;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
16;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
16;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
16;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
17;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
17;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
17;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
17;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
18;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
18;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
18;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
18;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
19;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
19;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
19;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
19;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
20;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
20;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
20;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
20;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
21;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
21;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
21;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
21;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
22;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
22;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
22;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
22;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
23;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
23;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
23;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
23;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
